id_persona,departamento,zona,contexto_sociocultural,id_centro,aprobado,puntos,actividades_acumuladas_3,actividades_acumuladas_4,actividades_acumuladas_5,actividades_acumuladas_6,actividades_acumuladas_7,preguntas_acumuladas_3,preguntas_acumuladas_4,preguntas_acumuladas_5,preguntas_acumuladas_6,preguntas_acumuladas_7,correctas_acumuladas_3,correctas_acumuladas_4,correctas_acumuladas_5,correctas_acumuladas_6,correctas_acumuladas_7,intenta.prom_3,intenta.prom_4,intenta.prom_5,intenta.prom_6,intenta.prom_7,activ.prom_3,activ.prom_4,activ.prom_5,activ.prom_6,activ.prom_7,pregu.prom_3,pregu.prom_4,pregu.prom_5,pregu.prom_6,pregu.prom_7,pts.min_3,pts.min_4,pts.min_5,pts.min_6,pts.min_7,pts.max_3,pts.max_4,pts.max_5,pts.max_6,pts.max_7,acierto_3,acierto_4,acierto_5,acierto_6,acierto_7,dias_acumulados_3,dias_acumulados_4,dias_acumulados_5,dias_acumulados_6,dias_acumulados_7,intentos_acumulados_3,intentos_acumulados_4,intentos_acumulados_5,intentos_acumulados_6,intentos_acumulados_7,actividades_asignadas_acumuladas_3,actividades_asignadas_acumuladas_4,actividades_asignadas_acumuladas_5,actividades_asignadas_acumuladas_6,actividades_asignadas_acumuladas_7,porc_actividades_hechas_3,porc_actividades_hechas_4,porc_actividades_hechas_5,porc_actividades_hechas_6,porc_actividades_hechas_7,mensajes_enviados_acumulados_3,mensajes_enviados_acumulados_4,mensajes_enviados_acumulados_5,mensajes_enviados_acumulados_6,mensajes_enviados_acumulados_7,mensajes_recibidos_acumulados_3,mensajes_recibidos_acumulados_4,mensajes_recibidos_acumulados_5,mensajes_recibidos_acumulados_6,mensajes_recibidos_acumulados_7,mensajes_hilos_acumulados_3,mensajes_hilos_acumulados_4,mensajes_hilos_acumulados_5,mensajes_hilos_acumulados_6,mensajes_hilos_acumulados_7,class_lb_3,class_lb_4,class_lb_5,class_lb_6,class_lb_7
650594,CERRO LARGO,Urbana,Quintil 2,1517,0,411.57,0,0,5,5,5,0,0,113,113,113,0,0,94,94,94,0,0,2.8,0,0,0,0,1.25,0,0,0,0,22.6,0,0,0,0,0.716666666666667,0,0,0,0,0.816666666666667,0,0,0,0,0.758333333333332,0,0,0,0,4,4,4,0,0,14,14,14,9,38,80,100,104,0,0,0.0625,0.05,0.0480769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3349,3349,3349,3349,3349
906635,MONTEVIDEO,Urbana,Quintil 5,828,0,433.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,63,96,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,1597,1597,1597,1597
586597,CANELONES,Urbana,Quintil 1,1272,0,459.46,0,0,0,0,1,0,0,0,0,10,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,1,0,0,0,0,1,9,33,75,87,109,0,0,0,0,0.0091743119266055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,2313,2313,2313,2313
730528,SAN JOSE,Urbana,Quintil 5,2665,0,464.17,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,9,33,75,99,109,0,0,0,0.0101010101010101,0.0091743119266055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580,3580,3580,3580,3580
672476,CANELONES,Urbana,Quintil 2,1321,0,341.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,75,104,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,248,248,248,248
581321,CANELONES,Urbana,Quintil 1,1272,0,500,0,0,0,1,2,0,0,0,8,18,0,0,0,5,12,0,0,0,1,1,0,0,0,1,1,0,0,0,8,10,0,0,0,0.63,0.7,0,0,0,0.63,0.7,0,0,0,0.625,0.7,0,0,0,1,2,0,0,0,1,2,9,33,75,87,109,0,0,0,0.0114942528735632,0.018348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,2313,2313,2313,2313
665565,CANELONES,Urbana,Quintil 4,1202,0,406.19,0,0,0,0,1,0,0,0,0,15,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0.6,0,0,0,0,0.6,0,0,0,0,0.6,0,0,0,0,1,0,0,0,0,1,9,33,75,99,109,0,0,0,0,0.0091743119266055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,499,499,499,499
704573,CANELONES,Urbana,Quintil 1,1272,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,75,87,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,2313,2313,2313,2313
654788,SALTO,Urbana,Quintil 1,2517,0,433.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,60,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3543,3543,3543,3543,3543
658127,CANELONES,Urbana,Quintil 3,1198,0,448.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,63,96,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138
658364,CERRO LARGO,Urbana,Quintil 5,1390,0,477.99,0,0,6,6,6,0,0,43,43,43,0,0,9,9,9,0,0,1,0,0,0,0,6,0,0,0,0,7.16666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333332,0,0,0,0,1,1,1,0,0,6,6,6,0,33,56,80,88,0,0,0.107142857142857,0.075,0.0681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,1951,1951,1951,1951
672442,CANELONES,Urbana,Quintil 2,1221,1,639.66,3,3,3,3,3,31,31,31,31,31,6,6,6,6,6,1.33333333333333,0,0,0,0,3,0,0,0,0,10.3333333333333,0,0,0,0,0.4,0,0,0,0,0.466666666666667,0,0,0,0,0.433333333333333,0,0,0,0,1,1,1,1,1,4,4,4,4,4,9,33,75,99,109,0.333333333333333,0.0909090909090909,0.04,0.0303030303030303,0.0275229357798165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,1785,1785,1785,1785
662756,CANELONES,Urbana,Quintil 1,1258,1,532.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,75,99,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3701,3701,3701,3701,3701
613796,SAN JOSE,Urbana,Quintil 4,2673,0,426.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,75,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,836,836,836,836
716861,ROCHA,Urbana,Quintil 4,2466,1,530.98,7,7,9,12,12,21,21,32,93,93,14,14,22,69,69,1.14285714285714,0,1,2.66666666666667,0,3.5,0,2,3,0,3,0,5.5,20.3333333333333,0,0.857142857142857,0,0.85,0.81,0,0.885714285714286,0,0.85,0.916666666666667,0,0.871428571428572,0,0.85,0.866666666666667,0,2,2,3,4,4,8,8,10,18,18,9,33,75,87,95,0.777777777777778,0.212121212121212,0.12,0.137931034482759,0.126315789473684,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,2357,2357,2357,2357,2357
965202,MONTEVIDEO,Urbana,Quintil 3,829,0,472.59,2,2,2,2,3,3,3,3,3,23,3,3,3,3,16,1,0,0,0,4,2,0,0,0,1,1.5,0,0,0,20,1,0,0,0,0.4,1,0,0,0,1,1,0,0,0,0.65,1,1,1,1,2,2,2,2,2,6,9,33,75,99,109,0.222222222222222,0.0606060606060606,0.0266666666666667,0.0202020202020202,0.0275229357798165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440,2440,2440,2440,2440
720047,RIO NEGRO,Urbana,Quintil 4,2234,0,523.57,3,11,11,15,17,31,117,117,152,173,22,69,69,80,95,1.33333333333333,1.75,0,1.25,1,3,4,0,4,2,10.3333333333333,10.75,0,8.75,10.5,0.766666666666667,0.7,0,0.4825,0.85,0.8,0.8125,0,0.545,0.85,0.783333333333333,0.7625,0,0.5125,0.85,1,3,3,4,5,4,18,18,23,25,9,33,48,58,72,0.333333333333333,0.333333333333333,0.229166666666667,0.258620689655172,0.236111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,753,753,753,2498
715631,SAN JOSE,Urbana,Quintil 5,2665,0,483.95,0,4,14,19,19,0,9,81,125,125,0,6,42,62,62,0,1,1.3,1,0,0,4,2.5,2.5,0,0,2.25,7.2,8.8,0,0,0.85,0.741,0.68,0,0,0.85,0.769,0.68,0,0,0.85,0.755238095238094,0.68,0,0,1,5,7,7,0,4,17,22,22,9,33,75,99,99,0,0.121212121212121,0.186666666666667,0.191919191919192,0.191919191919192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,470,470,470,470
738939,CANELONES,Urbana,Quintil 2,1226,0,495.88,0,1,8,10,10,0,90,144,160,160,0,24,50,54,54,0,10,1.28571428571429,1,0,0,0.5,2.33333333333333,2,0,0,90,7.71428571428571,8,0,0,0.165,0.757142857142857,0.25,0,0,0.39,0.814285714285714,0.25,0,0,0.249999999999995,0.785714285714286,0.25,0,0,2,5,6,6,0,10,19,21,21,0,30,50,85,85,0,0.0333333333333333,0.16,0.117647058823529,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,970,970,970,970
735937,CANELONES,Urbana,Quintil 4,1208,0,374.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,75,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,485,485,485,485
648731,CANELONES,Urbana,Quintil 5,1232,0,347.49,0,15,15,20,20,0,90,90,162,162,0,60,60,100,100,0,1.26666666666667,0,2.2,0,0,5,0,5,0,0,6,0,14.4,0,0,0.73125,0,0.778,0,0,0.8375,0,0.864,0,0,0.784375,0,0.82142857142857,0,0,3,3,4,4,0,19,19,30,30,9,33,75,87,95,0,0.454545454545455,0.2,0.229885057471264,0.210526315789474,0,0,0,6,6,0,0,0,0,0,0,0,0,5,5,996,996,996,996,996
777038,CANELONES,Urbana,Quintil 2,1321,0,385.89,0,0,0,4,5,0,0,0,25,35,0,0,0,11,17,0,0,0,1.25,1,0,0,0,2,1,0,0,0,6.25,10,0,0,0,0.5325,0.6,0,0,0,0.595,0.6,0,0,0,0.5625,0.6,0,0,0,2,3,0,0,0,5,6,9,33,75,104,114,0,0,0,0.0384615384615385,0.043859649122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,248,248,248,248
734456,PAYSANDU,Urbana,Quintil 3,2191,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,56,81,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,668,668,668,668
710674,CANELONES,Urbana,Quintil 4,1202,0,514.75,5,9,9,9,12,33,70,70,70,88,24,43,43,43,51,1.4,1.5,0,0,1,2.5,4,0,0,1.5,6.6,9.25,0,0,6,0.82,0.6,0,0,0.643333333333333,0.92,0.625,0,0,0.643333333333333,0.87,0.6125,0,0,0.644444444444443,2,3,3,3,5,7,13,13,13,16,9,38,83,107,117,0.555555555555556,0.236842105263158,0.108433734939759,0.0841121495327103,0.102564102564103,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3578,3578,3578,3578,3578
659253,CANELONES,Urbana,Quintil 2,1321,0,424.43,0,13,27,34,40,0,82,253,341,372,0,59,214,289,309,0,1.30769230769231,1.78571428571429,1.71428571428571,1,0,2.6,1.4,1.75,3,0,6.30769230769231,12.2142857142857,12.5714285714286,5.16666666666667,0,0.863846153846154,0.931176470588235,0.8225,0.805,0,0.930769230769231,0.964705882352941,0.88875,0.805,0,0.9002849002849,0.944444444444444,0.86220238095238,0.804166666666667,0,5,15,19,21,0,17,42,54,60,0,14,56,85,95,0,0.928571428571429,0.482142857142857,0.4,0.421052631578947,0,0,8,8,12,0,0,0,0,0,0,0,7,7,11,2991,2991,2991,2991,2991
748887,SORIANO,Urbana,Quintil 5,2749,0,389.67,2,2,2,10,10,7,7,7,51,51,2,2,2,34,34,2,0,0,1.125,0,2,0,0,4,0,3.5,0,0,5.5,0,0.5,0,0,0.68125,0,0.75,0,0,0.74375,0,0.58333333333333,0,0,0.73125,0,1,1,1,3,3,4,4,4,13,13,9,33,75,95,99,0.222222222222222,0.0606060606060606,0.0266666666666667,0.105263157894737,0.101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,521,521,521,521
604943,PAYSANDU,Urbana,Quintil 3,2116,0,388.28,0,0,2,2,2,0,0,10,10,10,0,0,3,3,3,0,0,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0.61,0,0,0,0,0.61,0,0,0,0,0.61111111111111,0,0,0,0,1,1,1,0,0,2,2,2,9,27,62,82,82,0,0,0.032258064516129,0.024390243902439,0.024390243902439,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,2351,2351,2351,2351,2351
782553,ROCHA,Urbana,Quintil 5,2445,1,617.01,0,14,14,14,14,0,154,154,154,154,0,137,137,137,137,0,1.85714285714286,0,0,0,0,14,0,0,0,0,11,0,0,0,0,0.914285714285714,0,0,0,0,1,0,0,0,0,0.954166666666666,0,0,0,0,1,1,1,1,0,26,26,26,26,9,33,75,99,109,0,0.424242424242424,0.186666666666667,0.141414141414141,0.128440366972477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,54,54
711415,ROCHA,Urbana,Quintil 3,2481,0,384.07,0,6,6,6,6,0,49,49,49,49,0,43,43,43,43,0,1.33333333333333,0,0,0,0,6,0,0,0,0,8.16666666666667,0,0,0,0,0.933333333333333,0,0,0,0,0.966666666666667,0,0,0,0,0.95,0,0,0,0,1,1,1,1,0,8,8,8,8,9,33,58,87,87,0,0.181818181818182,0.103448275862069,0.0689655172413793,0.0689655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3783,3783,3783,3783,3783
726128,CANELONES,Urbana,Quintil 3,1198,0,391.99,0,0,0,2,3,0,0,0,48,53,0,0,0,24,24,0,0,0,2.5,1,0,0,0,1,1,0,0,0,24,5,0,0,0,0.46,0,0,0,0,0.53,0,0,0,0,0.478571428571425,0,0,0,0,2,3,0,0,0,5,6,9,28,63,96,100,0,0,0,0.0208333333333333,0.03,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,138,138,138,138,138
727673,CERRO LARGO,Urbana,Quintil 5,1390,0,498.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,56,80,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,1951,1951,1951,1951
773036,PAYSANDU,Urbana,Quintil 3,2191,0,508.98,0,0,0,0,4,0,0,0,0,21,0,0,0,0,12,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5.25,0,0,0,0,0.6575,0,0,0,0,0.6575,0,0,0,0,0.65625,0,0,0,0,2,0,0,0,0,4,0,28,56,81,93,0,0,0,0,0.0430107526881721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,668,668,668,668
620691,ARTIGAS,Urbana,Quintil 2,1089,0,498.07,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,2,0,0,0,0,1.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,2,2,2,2,9,33,75,99,99,0.222222222222222,0.0606060606060606,0.0266666666666667,0.0202020202020202,0.0202020202020202,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,737,737,737,737,737
598671,MALDONADO,Urbana,Quintil 3,2005,0,454.69,0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,1,0,0,0,0,1,9,33,75,99,109,0,0,0,0,0.0091743119266055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2743,2743,2743,2743,2743
716924,RIO NEGRO,Urbana,Quintil 4,2234,0,457.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,75,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2498,2498,2498,2498,2498
